S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,Constituency Name,State,Serial No.
7,RASHID KHAN,Independent,1227,3,1230,0.1,Saharanpur,Uttar Pradesh,8194
8,TASMEEM BANO,Independent,883,2,885,0.07,Saharanpur,Uttar Pradesh,8195
9,RAJKUMAR,Independent,807,6,813,0.07,Saharanpur,Uttar Pradesh,8196
10,KAMRAN,Independent,744,1,745,0.06,Saharanpur,Uttar Pradesh,8197
11,NOTA,None of the Above,4559,7,4566,0.37,Saharanpur,Uttar Pradesh,8198
1,RAMASHANKAR RAJBHAR,Samajwadi Party,403616,1856,405472,44.2,Salempur,Uttar Pradesh,8199
2,RAVINDAR KUSHAWAHA,Bharatiya Janata Party,400489,1410,401899,43.81,Salempur,Uttar Pradesh,8200
3,BHIM RAJBHAR,Bahujan Samaj Party,80291,308,80599,8.79,Salempur,Uttar Pradesh,8201
4,JAIBAHADUR ALIAS JAIBAHADUR CHAUHAN,Janta Kranti Party (Rashtravadi),8241,22,8263,0.9,Salempur,Uttar Pradesh,8202
5,SHREENARAYAN MISHRA,Akhil Bhartiya Sarvjan Hit Party,3878,14,3892,0.42,Salempur,Uttar Pradesh,8203
6,SADDAM HUSSAIN,Independent,3210,5,3215,0.35,Salempur,Uttar Pradesh,8204
7,SHRIKRISHNA,Independent,2527,5,2532,0.28,Salempur,Uttar Pradesh,8205
8,AMRESH THAKUR,Independent,2147,9,2156,0.24,Salempur,Uttar Pradesh,8206
9,SURYA PRAKASH GAUTAM,Sardar Patel Siddhant Party,1782,3,1785,0.19,Salempur,Uttar Pradesh,8207
10,NOTA,None of the Above,7520,29,7549,0.82,Salempur,Uttar Pradesh,8208
1,ZIA UR REHMAN,Samajwadi Party,570745,416,571161,47.8,Sambhal,Uttar Pradesh,8209
2,PARMESHWAR LAL SAINI,Bharatiya Janata Party,448983,684,449667,37.63,Sambhal,Uttar Pradesh,8210
3,CHAUDHARY SAULAT ALI,Bahujan Samaj Party,152317,143,152460,12.76,Sambhal,Uttar Pradesh,8211
4,WASEEM SO MOH SHAMIM,Independent,3863,1,3864,0.32,Sambhal,Uttar Pradesh,8212
5,MOHD WASEEM SO MOHD FAREED,Independent,2077,-,2077,0.17,Sambhal,Uttar Pradesh,8213
6,JAYGAMUL ISLAM,Janta Shashan Party,1940,2,1942,0.16,Sambhal,Uttar Pradesh,8214
7,ANUJ VARSHNEY,Independent,1674,3,1677,0.14,Sambhal,Uttar Pradesh,8215
8,MAHANDRA SINGH,Independent,1291,3,1294,0.11,Sambhal,Uttar Pradesh,8216
9,SANTOSH,Kisan Kranti Dal,1201,3,1204,0.1,Sambhal,Uttar Pradesh,8217
10,DR RASHID,Peace Party,1059,1,1060,0.09,Sambhal,Uttar Pradesh,8218
11,TAUFIK AHAMAD,Independent,722,1,723,0.06,Sambhal,Uttar Pradesh,8219
12,PAVAN KUMAR,Log Party,636,1,637,0.05,Sambhal,Uttar Pradesh,8220
13,NOTA,None of the Above,7213,4,7217,0.6,Sambhal,Uttar Pradesh,8221
1,LAXMIKANT PAPPU NISHAD,Samajwadi Party,497488,1207,498695,45.7,Sant Kabir Nagar,Uttar Pradesh,8222
2,PRAVIN KUMAR NISHAD,Bharatiya Janata Party,405611,914,406525,37.25,Sant Kabir Nagar,Uttar Pradesh,8223
3,NADEEM ASHRAF,Bahujan Samaj Party,150549,263,150812,13.82,Sant Kabir Nagar,Uttar Pradesh,8224
4,DHEERAJ SRIVASTAV,Pragatisheel Samaj Party,5135,5,5140,0.47,Sant Kabir Nagar,Uttar Pradesh,8225
5,RAM KRISHNA DWIVEDI,Independent,4509,-,4509,0.41,Sant Kabir Nagar,Uttar Pradesh,8226
6,SATYVANT PRATAP SINGH,Independent,4351,7,4358,0.4,Sant Kabir Nagar,Uttar Pradesh,8227
7,KULDEEP,Sardar Patel Siddhant Party,3591,4,3595,0.33,Sant Kabir Nagar,Uttar Pradesh,8228
8,MITRASEN,Independent,2535,9,2544,0.23,Sant Kabir Nagar,Uttar Pradesh,8229
