S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,Constituency Name,State,Serial No.
1,ANITA NAGARSINGH CHOUHAN,Bharatiya Janata Party,793432,2431,795863,51.93,RATLAM,Madhya Pradesh,276
2,KANTILAL BHURIA,Indian National Congress,586904,1727,588631,38.41,RATLAM,Madhya Pradesh,277
3,ENGINEER BALUSINGH GAMAD,Bharat Adivasi Party,52525,234,52759,3.44,RATLAM,Madhya Pradesh,278
4,RAMCHANDRA SOLANKI,Bahujan Samaj Party,15159,13,15172,0.99,RATLAM,Madhya Pradesh,279
5,SURAJ BHABHAR,Independent,10060,2,10062,0.66,RATLAM,Madhya Pradesh,280
6,RANGLA KALESH,Independent,7331,4,7335,0.48,RATLAM,Madhya Pradesh,281
7,KASNA RANA PARGI,Independent,7311,5,7316,0.48,RATLAM,Madhya Pradesh,282
8,SUMITRA MEDA,Independent,6927,3,6930,0.45,RATLAM,Madhya Pradesh,283
9,RAMESHWAR SINGAR,Independent,4603,4,4607,0.3,RATLAM,Madhya Pradesh,284
10,MOHANSINGH NINGWAL,Bhartiya Samajik Party,4503,4,4507,0.29,RATLAM,Madhya Pradesh,285
11,SHEETAL BARELA,Akhand Bharat Samrajya Party,3929,1,3930,0.26,RATLAM,Madhya Pradesh,286
12,UDESINGH MACHAR,Republican Party of India (A),3795,1,3796,0.25,RATLAM,Madhya Pradesh,287
13,NOTA,None of the Above,31697,38,31735,2.07,RATLAM,Madhya Pradesh,288
1,JANARDAN MISHRA,Bharatiya Janata Party,475439,2020,477459,52,REWA,Madhya Pradesh,289
2,NEELAM ABHAY MISHRA,Indian National Congress,283187,898,284085,30.94,REWA,Madhya Pradesh,290
3,ADV. ABHISHEK MASTER BUDDHSEN PATEL,Bahujan Samaj Party,117089,132,117221,12.77,REWA,Madhya Pradesh,291
4,DAYASHANKAR PANDEY,Independent,4609,1,4610,0.5,REWA,Madhya Pradesh,292
5,ROSHAN LAL KOL,Independent,4110,12,4122,0.45,REWA,Madhya Pradesh,293
6,ER. DEVENDRA SINGH,Sapaks Party,4065,11,4076,0.44,REWA,Madhya Pradesh,294
7,ER. RAM KUMAR SONI,Independent,3868,5,3873,0.42,REWA,Madhya Pradesh,295
8,RAM GOPAL SINGH,Peoples Party of India (Democratic),3502,7,3509,0.38,REWA,Madhya Pradesh,296
9,PRASSAN JEET SINGH,Independent,3306,7,3313,0.36,REWA,Madhya Pradesh,297
10,JANARDAN MISHRA,Independent,2274,21,2295,0.25,REWA,Madhya Pradesh,298
11,RANJAN GUPTA,Rashtravadi Bharat Party,2151,9,2160,0.24,REWA,Madhya Pradesh,299
