S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,Constituency Name,State,Serial No.
7,DR M. VENKATASWAMY,Independent,3336,18,3354,0.25,Kolar,Karnataka,359
8,R RANJITHKUMAR,Independent,2116,2,2118,0.16,Kolar,Karnataka,360
9,S N NARAYANASWAMY V,Independent,1971,14,1985,0.15,Kolar,Karnataka,361
10,D GOPALAKRISHNA,Socialist Party (India),1661,8,1669,0.12,Kolar,Karnataka,362
11,DEVARAJA A ALUSURUDINNE,Uttama Prajaakeeya Party,1343,11,1354,0.1,Kolar,Karnataka,363
12,M S BADARINARAYANA,Independent,1104,12,1116,0.08,Kolar,Karnataka,364
13,MAHESH A V,Karnataka Rashtra Samithi,1035,30,1065,0.08,Kolar,Karnataka,365
14,THIMMARAYAPPA,Republican Party of India (Karnataka),856,8,864,0.06,Kolar,Karnataka,366
15,R RAJENDRA,Independent,750,1,751,0.06,Kolar,Karnataka,367
16,M MUNIGANGAPPA,Independent,595,9,604,0.04,Kolar,Karnataka,368
17,M  C HALLI VENU,Viduthalai Chiruthaigal Katchi,514,7,521,0.04,Kolar,Karnataka,369
18,KRISHNAIAH N,Independent,438,5,443,0.03,Kolar,Karnataka,370
19,NOTA,None of the Above,5798,33,5831,0.43,Kolar,Karnataka,371
1,K. RAJASHEKAR BASAVARAJ HITNAL,Indian National Congress,661921,1590,663511,49.93,Koppal,Karnataka,372
2,DR . BASAVARAJ. K. SHARANAPPA,Bharatiya Janata Party,614866,2288,617154,46.44,Koppal,Karnataka,373
3,MALLIKARJUN HADAPAD,Independent,7310,4,7314,0.55,Koppal,Karnataka,374
4,SHANKARA,Bahujan Samaj Party,7031,12,7043,0.53,Koppal,Karnataka,375
5,KARADI BASAVARAJ,Independent,5868,9,5877,0.44,Koppal,Karnataka,376
6,RUKMINI,Independent,5279,3,5282,0.4,Koppal,Karnataka,377
7,SURESH. GOUDA MUNDINAMANE,Independent,4641,1,4642,0.35,Koppal,Karnataka,378
8,NAGARAJ KALAL,Independent,1992,2,1994,0.15,Koppal,Karnataka,379
9,KALAPPA YACHRAPPA BADIGER VISHWAKARMA,Independent,1967,15,1982,0.15,Koppal,Karnataka,380
10,PA.YA. GANESH,Independent,1892,3,1895,0.14,Koppal,Karnataka,381
11,HANAMESH . S . H. SHAKHAPUR,Independent,1247,1,1248,0.09,Koppal,Karnataka,382
12,KAREEMPASHA GACHCHINMANI.,Independent,1233,5,1238,0.09,Koppal,Karnataka,383
13,ANNOJI RAO. G,Sarva Janata Party,1113,4,1117,0.08,Koppal,Karnataka,384
14,SHARANAPPA,Socialist Unity Centre Of India (COMMUNIST),1097,9,1106,0.08,Koppal,Karnataka,385
15,NIRUPADI K GOMARSI,Karnataka Rashtra Samithi,891,9,900,0.07,Koppal,Karnataka,386
16,RAMZANBEE,All India Ulama Congress,800,6,806,0.06,Koppal,Karnataka,387
17,D DURGA PRASAD BYATARAYANAJI,Challengers Party,798,1,799,0.06,Koppal,Karnataka,388
18,C. SHARANA BASAPPA,Republican Party of India (Karnataka),770,6,776,0.06,Koppal,Karnataka,389
19,IMAMSAB JANGLISAB MULLA,Independent,728,5,733,0.06,Koppal,Karnataka,390
20,NOTA,None of the Above,3496,23,3519,0.26,Koppal,Karnataka,391
1,H.D. KUMARASWAMY,Janata Dal  (Secular),847482,4399,851881,58.34,Mandya,Karnataka,392
2,VENKATARAMANE GOWDA (STAR CHANDRU),Indian National Congress,564778,2483,567261,38.85,Mandya,Karnataka,393
3,CHANDAN GOWDA. K,Independent,12310,84,12394,0.85,Mandya,Karnataka,394
4,SHIVASHANKARA. S,Bahujan Samaj Party,6903,61,6964,0.48,Mandya,Karnataka,395
5,RAMAIAH. D,Independent,3796,14,3810,0.26,Mandya,Karnataka,396
6,RANJITHA. N,Independent,2897,12,2909,0.2,Mandya,Karnataka,397
7,CHANDRASHEKARA. K.R (CHANDRU KEELARA),Karnataka Rashtra Samithi,1465,11,1476,0.1,Mandya,Karnataka,398
8,BUDAYYA. B.P,Karunaadu Party,1358,12,1370,0.09,Mandya,Karnataka,399
9,LOKESHA. S (AARYA LOKESH),Uttama Prajaakeeya Party,1151,12,1163,0.08,Mandya,Karnataka,400
10,BEERESH. C.T (SAINIKA BEERESH),Independent,919,12,931,0.06,Mandya,Karnataka,401
11,N.BASAVARAJU,Independent,802,41,843,0.06,Mandya,Karnataka,402
12,H.D. REVANNA,Purvanchal Mahapanchayat,584,6,590,0.04,Mandya,Karnataka,403
13,CHANNAMAYIGOWDA,Independent,496,1,497,0.03,Mandya,Karnataka,404
14,S.ARVIND,Independent,440,2,442,0.03,Mandya,Karnataka,405
15,NOTA,None of the Above,7706,30,7736,0.53,Mandya,Karnataka,406
1,YADUVEER KRISHNADATTA CHAMARAJA WADIYAR,Bharatiya Janata Party,790391,5112,795503,53.59,Mysore,Karnataka,407
2,M. LAKSHMANA,Indian National Congress,653739,2502,656241,44.21,Mysore,Karnataka,408
3,RANGASWAMY. M,Independent,4301,5,4306,0.29,Mysore,Karnataka,409
4,KADAMBA NAA AMBARISH,Karnataka Jantha Paksha,4069,11,4080,0.27,Mysore,Karnataka,410
5,A. S. SATHISH,Independent,3736,10,3746,0.25,Mysore,Karnataka,411
6,RAMAMURTHY. M,Independent,3601,4,3605,0.24,Mysore,Karnataka,412
7,RAJU,Independent,1940,9,1949,0.13,Mysore,Karnataka,413
8,PRAJAKEEYA LEELA SHIVAKUMAR,Uttama Prajaakeeya Party,1724,30,1754,0.12,Mysore,Karnataka,414
9,COMRADE SUNIL T. R,Socialist Unity Centre Of India (COMMUNIST),1538,22,1560,0.11,Mysore,Karnataka,415
10,H. K. KRISHNA,Karunaadu Party,1479,10,1489,0.1,Mysore,Karnataka,416
11,HARISH GOWDA,Socialist Party (India),967,9,976,0.07,Mysore,Karnataka,417
12,P. S. YADURAPPA,Independent,874,4,878,0.06,Mysore,Karnataka,418
13,AMBEDKAR. C. J,Independent,821,14,835,0.06,Mysore,Karnataka,419
14,DARSHAN K PONNETI,Independent,761,3,764,0.05,Mysore,Karnataka,420
15,M. S. PRAVEEN,Karnataka Rashtra Samithi,735,5,740,0.05,Mysore,Karnataka,421
16,CHRISTOPHER RAJ KUMAR,Independent,533,11,544,0.04,Mysore,Karnataka,422
17,DR. H. M. NANJUNDASWAMY,Samajwadi Janata Party(Karnataka),519,4,523,0.04,Mysore,Karnataka,423
18,A. G. RAMACHANDRA RAO,Secular Democratic Congress,487,3,490,0.03,Mysore,Karnataka,424
19,NOTA,None of the Above,4446,44,4490,0.3,Mysore,Karnataka,425
1,G. KUMAR NAIK.,Indian National Congress,669413,1553,670966,51.63,Raichur,Karnataka,426
2,RAJA AMARESHWARA NAIK.,Bharatiya Janata Party,588833,2352,591185,45.49,Raichur,Karnataka,427
3,S. NARASANNA GOUDA NAYAKA,Bahujan Samaj Party,9275,14,9289,0.71,Raichur,Karnataka,428
4,BASAVA PRABHU. MEDA,Karnataka Rashtra Samithi,5173,8,5181,0.4,Raichur,Karnataka,429
5,AMARESH,Independent,4459,6,4465,0.34,Raichur,Karnataka,430
